FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,SHAPE_Length,SHAPE_Area
1,42,003,563900,2,420035639002,Block Group 2,G5030,S,744135,0,+40.4153199,-079.8449823,0.0492652548233199,7.89562594999719e-05
2,42,003,499300,1,420034993001,Block Group 1,G5030,S,576117,324290,+40.3335314,-079.8917556,0.0667889078759869,9.54222225001329e-05
3,42,003,523400,1,420035234001,Block Group 1,G5030,S,892612,0,+40.4502476,-079.8337398,0.0594391919178396,9.47588775000604e-05
4,42,003,519000,3,420035190003,Block Group 3,G5030,S,1240861,0,+40.4463623,-079.8420315,0.0692081104440248,0.000131721111999804
5,42,003,562800,1,420035628001,Block Group 1,G5030,S,1121310,0,+40.4202303,-080.0745958,0.0602502427667623,0.000118984525500002
6,42,003,464300,2,420034643002,Block Group 2,G5030,S,319324,0,+40.4462671,-080.0712538,0.0357828202831353,3.3897210499987e-05
7,42,003,414101,4,420034141014,Block Group 4,G5030,S,1302503,0,+40.6073338,-079.9244867,0.0742926992174831,0.000138591543500055
8,42,003,562500,4,420035625004,Block Group 4,G5030,S,601811,0,+40.4580575,-080.0582931,0.0528501610956202,6.38949584998931e-05
9,42,003,980400,1,420039804001,Block Group 1,G5030,S,1106930,0,+40.4819378,-080.0200164,0.075454458302264,0.000117565057999991
10,42,003,141400,5,420031414005,Block Group 5,G5030,S,140752,0,+40.4275500,-079.9245784,0.0173736808459643,1.49372139999847e-05
11,42,003,261400,1,420032614001,Block Group 1,G5030,S,306418,0,+40.4653223,-080.0168974,0.024595822136036,3.25357414999792e-05
12,42,003,562800,2,420035628002,Block Group 2,G5030,S,653727,0,+40.4269246,-080.0658036,0.0511065313321089,6.93748949999858e-05
13,42,003,523400,3,420035234003,Block Group 3,G5030,S,395709,0,+40.4551660,-079.8391121,0.0404667751404109,4.20109185000086e-05
14,42,003,523400,4,420035234004,Block Group 4,G5030,S,392365,0,+40.4535110,-079.8298824,0.0318275693559839,4.16551014999741e-05
15,42,003,563200,2,420035632002,Block Group 2,G5030,S,294225,0,+40.4535116,-079.9979371,0.0265015257565019,3.12356149999544e-05
16,42,003,488600,1,420034886001,Block Group 1,G5030,S,977202,0,+40.3501351,-079.9134469,0.0610517373631125,0.000103586621999872
17,42,003,472200,3,420034722003,Block Group 3,G5030,S,339017,0,+40.3957051,-080.0433601,0.0248099932221107,3.5961033500088e-05
18,42,003,564100,1,420035641001,Block Group 1,G5030,S,1450326,0,+40.4224180,-080.0885510,0.0755601812308301,0.0001539023279999
19,42,003,470502,1,420034705021,Block Group 1,G5030,S,1107920,0,+40.4074702,-080.0688312,0.0655462814535367,0.000117541820000116
