est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID
538,538,17,101,2878,1238,17,40,75,26,62,38,64,95,69,97,127,171,179,68,83,27,42,003,480102,42003480102
1119,1119,0,150,6012,2706,173,159,116,128,205,110,153,73,126,269,301,200,294,77,189,133,42,003,484500,42003484500
178,122,5,28,6652,322,39,49,51,41,15,5,0,9,0,48,11,10,0,3,41,0,42,003,010300,42003010300
201,196,15,15,5490,2714,235,88,92,94,170,95,48,121,49,145,145,254,269,210,145,554,42,003,020100,42003020100
100,100,0,9,1576,600,253,16,55,36,14,39,25,38,10,25,12,20,14,13,27,3,42,003,040200,42003040200
43,43,0,0,2212,960,285,154,71,45,104,18,54,12,35,56,46,33,18,21,8,0,42,003,040600,42003040600
368,368,17,73,1043,399,82,28,54,8,28,6,16,51,16,12,24,32,20,15,0,7,42,003,101600,42003101600
366,366,41,15,1422,521,125,36,36,52,16,15,37,77,19,38,11,19,12,0,6,22,42,003,130200,42003130200
245,245,0,10,1915,1015,71,42,0,30,24,82,38,19,36,77,151,204,140,34,21,46,42,003,140500,42003140500
706,706,14,140,5126,2403,250,82,148,139,63,241,163,120,45,88,166,385,194,31,128,160,42,003,141300,42003141300
740,740,23,78,5143,2577,257,178,93,145,61,55,111,49,53,174,144,367,178,174,269,269,42,003,141400,42003141400
64,64,0,0,1804,1066,22,19,70,42,22,103,11,22,97,110,59,105,95,75,62,152,42,003,190300,42003190300
777,777,16,150,3195,1458,183,120,144,47,78,204,28,106,113,110,130,124,16,36,19,0,42,003,522000,42003522000
792,792,32,117,4287,1839,7,36,51,118,57,77,137,73,121,262,147,382,160,155,28,28,42,003,523501,42003523501
429,429,20,44,2622,1251,55,28,119,26,78,69,55,69,34,132,80,258,71,102,50,25,42,003,551300,42003551300
197,195,14,29,1474,909,207,293,90,78,43,69,15,27,23,10,17,6,26,5,0,0,42,003,551900,42003551900
