est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID,below60k,below60asperc
1119,1119,0,150,6012,2706,173,159,116,128,205,110,153,73,126,269,301,200,294,77,189,133,42,3,484500,42003484500,1512,0.5587583148558758
178,122,5,28,6652,322,39,49,51,41,15,5,0,9,0,48,11,10,0,3,41,0,42,3,10300,42003010300,257,0.7981366459627329
100,100,0,9,1576,600,253,16,55,36,14,39,25,38,10,25,12,20,14,13,27,3,42,3,40200,42003040200,511,0.8516666666666667
43,43,0,0,2212,960,285,154,71,45,104,18,54,12,35,56,46,33,18,21,8,0,42,3,40600,42003040600,834,0.86875
368,368,17,73,1043,399,82,28,54,8,28,6,16,51,16,12,24,32,20,15,0,7,42,3,101600,42003101600,301,0.7543859649122807
366,366,41,15,1422,521,125,36,36,52,16,15,37,77,19,38,11,19,12,0,6,22,42,3,130200,42003130200,451,0.8656429942418427
706,706,14,140,5126,2403,250,82,148,139,63,241,163,120,45,88,166,385,194,31,128,160,42,3,141300,42003141300,1339,0.5572201414898044
777,777,16,150,3195,1458,183,120,144,47,78,204,28,106,113,110,130,124,16,36,19,0,42,3,522000,42003522000,1133,0.7770919067215364
792,792,32,117,4287,1839,7,36,51,118,57,77,137,73,121,262,147,382,160,155,28,28,42,3,523501,42003523501,939,0.5106035889070146
429,429,20,44,2622,1251,55,28,119,26,78,69,55,69,34,132,80,258,71,102,50,25,42,3,551300,42003551300,665,0.5315747402078337
197,195,14,29,1474,909,207,293,90,78,43,69,15,27,23,10,17,6,26,5,0,0,42,3,551900,42003551900,855,0.9405940594059405
725,725,20,170,3383,1424,217,108,176,93,67,75,39,129,47,44,164,130,52,83,0,0,42,3,552400,42003552400,995,0.6987359550561798
319,319,0,122,2696,1737,256,66,167,114,99,136,84,143,96,167,165,84,107,23,7,23,42,3,561500,42003561500,1328,0.7645365572826712
230,230,0,47,836,266,8,51,89,0,13,12,5,10,14,13,11,13,6,5,5,11,42,3,120800,42003120800,215,0.8082706766917294
296,296,19,43,1426,671,50,39,35,8,41,13,54,48,31,93,98,112,10,26,5,8,42,3,281500,42003281500,412,0.6140089418777943
661,661,57,140,3213,1431,57,114,48,102,16,106,71,72,26,115,244,269,52,70,38,31,42,3,310200,42003310200,727,0.5080363382250175
923,923,34,113,4713,2069,168,65,43,179,9,131,70,100,50,251,230,254,225,139,142,13,42,3,401100,42003401100,1066,0.5152247462542291
562,562,30,138,3706,1903,139,86,266,54,107,146,106,237,71,197,90,151,118,59,23,53,42,3,427000,42003427000,1409,0.7404098791382029
218,218,8,55,1854,965,99,8,22,19,42,72,93,36,41,118,131,125,48,28,58,25,42,3,431400,42003431400,550,0.5699481865284974
517,409,17,31,2503,1258,58,47,55,50,110,104,71,45,29,125,94,235,91,73,42,29,42,3,435000,42003435000,694,0.5516693163751988
313,313,23,104,1955,989,53,107,93,25,60,23,69,110,21,68,100,92,65,51,38,14,42,3,507000,42003507000,629,0.6359959555106168
538,538,27,86,1860,871,146,82,84,88,57,64,39,36,63,72,50,44,32,8,6,0,42,3,508000,42003508000,731,0.8392652123995408
1346,1346,66,121,5197,2347,245,210,209,207,174,190,196,210,37,92,202,223,57,76,0,19,42,3,509400,42003509400,1770,0.7541542394546229
477,477,16,65,2068,912,132,149,53,56,41,29,80,77,47,46,76,89,0,27,4,6,42,3,514000,42003514000,710,0.7785087719298246
351,351,14,47,2159,1167,77,58,50,50,85,72,65,45,57,191,115,124,87,74,11,6,42,3,515200,42003515200,750,0.6426735218508998
797,797,20,159,4159,1862,38,14,102,144,145,140,94,98,48,162,198,273,227,94,61,24,42,3,521200,42003521200,985,0.5290010741138561
332,332,11,43,994,348,58,87,15,31,39,6,28,13,17,9,12,5,0,6,8,14,42,3,561100,42003561100,303,0.8706896551724138
239,239,21,0,2073,1180,49,32,78,0,122,65,13,15,66,173,120,181,58,34,45,129,42,3,80600,42003080600,613,0.5194915254237288
0,0,0,0,3255,1134,438,134,98,91,100,72,96,17,0,16,43,9,0,10,0,10,42,3,40500,42003040500,1062,0.9365079365079365
249,249,0,35,1327,646,69,32,56,50,20,45,108,28,9,27,21,115,30,21,0,15,42,3,101700,42003101700,444,0.6873065015479877
692,692,18,184,3575,1593,177,58,76,79,118,47,68,93,113,42,219,217,146,61,64,15,42,3,192000,42003192000,871,0.54676710608914
714,714,6,56,2561,1090,125,53,119,72,96,25,60,86,69,79,111,50,65,35,45,0,42,3,281400,42003281400,784,0.7192660550458716
312,312,5,63,1617,737,26,33,21,73,33,64,32,14,6,71,112,104,74,45,29,0,42,3,320700,42003320700,373,0.5061058344640434
268,268,63,0,402,130,0,30,56,15,17,4,0,8,0,0,0,0,0,0,0,0,42,3,51100,42003051100,130,1.0
